Date,High-Low
8/19/2014,3.3400310000000673
8/18/2014,8.510033000000021
8/15/2014,8.859992000000034
8/14/2014,7.020045999999979
8/13/2014,9.250038000000018
8/12/2014,5.020053999999959
8/11/2014,4.489975000000072
8/8/2014,9.90001499999994
8/7/2014,8.790036999999984
8/6/2014,10.700060000000008
8/5/2014,9.370058000000085
8/4/2014,11.250090999999998
8/1/2014,13.110112999999956
7/31/2014,13.650106999999934
7/30/2014,5.500069000000053
7/29/2014,6.184991999999966
7/28/2014,7.747015000000033
7/25/2014,4.830018999999993
7/24/2014,7.730061999999975
7/23/2014,5.349999999999909
7/22/2014,9.050027999999998
7/21/2014,9.167047999999909
7/18/2014,14.800048999999944
7/17/2014,12.380021000000056
7/16/2014,6.199987000000078
7/15/2014,9.245020000000068
7/14/2014,7.180029999999988
7/11/2014,9.430035999999973
7/10/2014,11.580036999999948
7/9/2014,7.343992999999955
7/8/2014,13.393053000000009
7/7/2014,6.839987000000065
7/3/2014,4.0900139999999965
7/2/2014,5.050044000000071
7/1/2014,7.750013999999965
6/30/2014,4.820043000000055
6/27/2014,6.07005300000003
6/26/2014,10.600054
6/25/2014,14.74007000000006
6/24/2014,11.636098999999945
6/23/2014,10.750062999999955
6/20/2014,7.188047999999981
6/19/2014,6.490027000000055
6/18/2014,9.560031999999978
6/17/2014,5.990000000000009
6/16/2014,8.10003400000005
6/13/2014,6.740042000000017
6/12/2014,9.53004199999998
6/11/2014,4.8600079999999934
6/10/2014,5.7000189999999975
6/9/2014,6.860000000000014
6/6/2014,9.130019000000061
6/5/2014,10.50004899999999
6/4/2014,9.860049000000004
6/3/2014,9.790031999999997
6/2/2014,15.170082999999977
5/30/2014,5.440029000000095
5/29/2014,5.290021000000024
5/28/2014,6.840048000000024
5/27/2014,11.650052999999957
5/23/2014,9.940041000000065
5/22/2014,6.820033999999964
5/21/2014,7.273059999999987
5/20/2014,9.9300649999999
5/19/2014,12.197023999999942
5/16/2014,6.360031999999933
5/15/2014,8.450054000000023
5/14/2014,7.710048999999913
5/13/2014,6.560043999999948
5/12/2014,11.180014000000028
5/9/2014,15.700040000000001
5/8/2014,10.78005300000001
5/7/2014,13.380047999999988
5/6/2014,11.750059000000078
5/5/2014,7.580054000000018
5/2/2014,8.390013999999951
5/1/2014,9.050027
4/30/2014,5.479994000000033
4/29/2014,13.140101000000072
4/28/2014,15.800044999999955
4/25/2014,9.280028000000016
4/24/2014,9.53004199999998
4/23/2014,7.620018999999957
4/22/2014,9.720077999999944
4/21/2014,11.10008300000004
4/17/2014,18.350067999999965
4/16/2014,17.000051999999982
4/15/2014,19.99006399999996
4/14/2014,14.540120000000002
4/11/2014,13.47004800000002
4/10/2014,25.10014799999999
4/9/2014,12.420048000000065
4/8/2014,13.390054000000077
4/7/2014,21.330104000000006
4/4/2014,34.77010100000007
4/3/2014,23.15009800000007
4/2/2014,42.64019499999995
4/1/2014,9.740091000000007
3/31/2014,10.070036999999957
3/28/2014,7.760050999999976
3/27/2014,15.080054000000018
3/26/2014,40.070109999999886
3/25/2014,22.84008999999992
3/24/2014,38.950080999999955
3/21/2014,27.180033999999978
3/20/2014,14.250014999999848
3/19/2014,17.57996000000003
3/18/2014,18.470004000000017
3/17/2014,18.95999400000005
3/14/2014,18.340001999999913
3/13/2014,25.740085000000136
3/12/2014,23.66004799999996
3/11/2014,17.679943000000094
3/10/2014,13.550012000000152
3/7/2014,15.550037999999859
3/6/2014,7.5500580000000355
3/5/2014,11.669941000000108
3/4/2014,6.49999200000002
3/3/2014,15.700012000000015
2/28/2014,17.969966999999997
2/27/2014,7.220089000000144
2/26/2014,15.119963999999982
2/25/2014,14.079945999999836
2/24/2014,15.060048000000052
2/21/2014,7.030048000000079
2/20/2014,6.670059999999921
2/19/2014,11.720055000000002
2/18/2014,12.869980999999825
2/14/2014,11.589930999999979
2/13/2014,20.24004500000001
2/12/2014,8.620094999999992
2/11/2014,19.660119000000122
2/10/2014,13.380065000000059
2/7/2014,17.340049999999792
2/6/2014,12.609976999999844
2/5/2014,22.75003199999992
2/4/2014,17.98993900000005
2/3/2014,49.710005999999794
1/31/2014,35.410000999999966
1/30/2014,25.240048000000115
1/29/2014,22.33012800000006
1/28/2014,15.810042000000067
1/27/2014,44.23006099999998
1/24/2014,30.550047000000177
1/23/2014,8.119936000000052
1/22/2014,9.030074000000013
1/21/2014,12.70003500000007
1/17/2014,16.430033999999978
1/16/2014,9.929920000000038
1/15/2014,11.209970999999996
1/14/2014,22.910053999999946
1/13/2014,29.740135999999893
1/10/2014,16.83008800000016
1/9/2014,18.65992200000005
1/8/2014,14.030076999999892
1/7/2014,18.530042999999978
1/6/2014,12.420057999999926
1/3/2014,12.00003199999992
1/2/2014,9.490044000000125
12/31/2013,14.74012700000003
12/30/2013,11.480023000000074
12/27/2013,7.339921000000004
12/26/2013,10.310002000000168
12/24/2013,7.140077999999903
12/23/2013,10.680037000000084
12/20/2013,13.170051999999941
12/19/2013,12.91004799999996
12/18/2013,25.91003099999989
12/17/2013,12.37999200000013
12/16/2013,12.680062000000135
12/13/2013,18.4000410000001
12/12/2013,13.94001900000012
12/11/2013,16.150058000000172
12/10/2013,16.66001899999992
12/9/2013,14.2900810000001
12/6/2013,9.920116999999891
12/5/2013,8.570103999999901
12/4/2013,13.980084999999917
12/3/2013,14.420084000000088
12/2/2013,15.590104999999994
11/29/2013,7.169975000000022
11/27/2013,7.999981000000162
11/26/2013,18.560062000000016
11/25/2013,18.16993300000013
11/22/2013,6.950037000000066
11/21/2013,12.310090000000173
